Date,Service,Region,CostUSD,UsageQuantity
2025-09-01,Amazon EC2,us-east-1,2.96,14.6
2025-09-01,Amazon EC2,us-west-2,1.97,9.73
2025-09-01,Amazon EC2,ap-northeast-1,0.98,4.87
2025-09-01,Amazon S3,us-east-1,3.62,34.41
2025-09-01,Amazon S3,us-west-2,2.42,22.94
2025-09-01,Amazon S3,ap-northeast-1,1.21,11.47
2025-09-01,Amazon RDS,us-east-1,0.0,11.98
2025-09-01,Amazon RDS,us-west-2,0.0,7.99
2025-09-01,Amazon RDS,ap-northeast-1,0.0,3.99
2025-09-01,AWS Lambda,us-east-1,2.69,21.84
2025-09-01,AWS Lambda,us-west-2,1.79,14.56
2025-09-01,AWS Lambda,ap-northeast-1,0.9,7.28
2025-09-01,Amazon CloudFront,us-east-1,2.48,16.47
2025-09-01,Amazon CloudFront,us-west-2,1.65,10.98
2025-09-01,Amazon CloudFront,ap-northeast-1,0.82,5.49
2025-09-01,Amazon DynamoDB,us-east-1,3.82,32.78
2025-09-01,Amazon DynamoDB,us-west-2,2.55,21.85
2025-09-01,Amazon DynamoDB,ap-northeast-1,1.27,10.93
2025-09-01,Amazon EBS,us-east-1,2.6,36.27
2025-09-01,Amazon EBS,us-west-2,1.73,24.18
2025-09-01,Amazon EBS,ap-northeast-1,0.87,12.09
2025-09-01,Amazon VPC,us-east-1,3.2,16.41
2025-09-01,Amazon VPC,us-west-2,2.13,10.94
2025-09-01,Amazon VPC,ap-northeast-1,1.07,5.47
2025-09-01,Amazon Route 53,us-east-1,3.06,15.41
2025-09-01,Amazon Route 53,us-west-2,2.04,10.27
2025-09-01,Amazon Route 53,ap-northeast-1,1.02,5.14
2025-09-01,Amazon SNS,us-east-1,3.82,24.5
2025-09-01,Amazon SNS,us-west-2,2.55,16.33
2025-09-01,Amazon SNS,ap-northeast-1,1.27,8.17
2025-09-01,Amazon SQS,us-east-1,2.23,18.19
2025-09-01,Amazon SQS,us-west-2,1.48,12.13
2025-09-01,Amazon SQS,ap-northeast-1,0.74,6.06
2025-09-01,AWS Glue,us-east-1,4.33,23.45
2025-09-01,AWS Glue,us-west-2,2.89,15.64
2025-09-01,AWS Glue,ap-northeast-1,1.44,7.82
2025-09-01,Amazon Redshift,us-east-1,1.86,21.48
2025-09-01,Amazon Redshift,us-west-2,1.24,14.32
2025-09-01,Amazon Redshift,ap-northeast-1,0.62,7.16
2025-09-01,Amazon Athena,us-east-1,3.3,28.66
2025-09-01,Amazon Athena,us-west-2,2.2,19.1
2025-09-01,Amazon Athena,ap-northeast-1,1.1,9.55
2025-09-01,AWS Step Functions,us-east-1,3.12,29.31
2025-09-01,AWS Step Functions,us-west-2,2.08,19.54
2025-09-01,AWS Step Functions,ap-northeast-1,1.04,9.77
2025-09-01,Amazon EKS,us-east-1,5.71,20.93
2025-09-01,Amazon EKS,us-west-2,3.81,13.96
2025-09-01,Amazon EKS,ap-northeast-1,1.9,6.98
2025-09-01,Amazon ECS,us-east-1,1.73,16.86
2025-09-01,Amazon ECS,us-west-2,1.15,11.24
2025-09-01,Amazon ECS,ap-northeast-1,0.58,5.62
2025-09-01,AWS CloudTrail,us-east-1,3.42,36.29
2025-09-01,AWS CloudTrail,us-west-2,2.28,24.19
2025-09-01,AWS CloudTrail,ap-northeast-1,1.14,12.1
2025-09-01,Amazon CloudWatch,us-east-1,2.33,16.6
2025-09-01,Amazon CloudWatch,us-west-2,1.55,11.07
2025-09-01,Amazon CloudWatch,ap-northeast-1,0.78,5.53
2025-09-01,AWS KMS,us-east-1,1.26,31.5
2025-09-01,AWS KMS,us-west-2,0.84,21.0
2025-09-01,AWS KMS,ap-northeast-1,0.42,10.5
2025-09-02,Amazon EC2,us-east-1,3.62,30.43
2025-09-02,Amazon EC2,us-west-2,2.41,20.29
2025-09-02,Amazon EC2,ap-northeast-1,1.21,10.14
2025-09-02,Amazon S3,us-east-1,1.5,27.32
2025-09-02,Amazon S3,us-west-2,1.0,18.21
2025-09-02,Amazon S3,ap-northeast-1,0.5,9.11
2025-09-02,Amazon RDS,us-east-1,2.67,27.18
2025-09-02,Amazon RDS,us-west-2,1.78,18.12
2025-09-02,Amazon RDS,ap-northeast-1,0.89,9.06
2025-09-02,AWS Lambda,us-east-1,3.81,27.23
2025-09-02,AWS Lambda,us-west-2,2.54,18.16
2025-09-02,AWS Lambda,ap-northeast-1,1.27,9.08
2025-09-02,Amazon CloudFront,us-east-1,3.52,25.68
2025-09-02,Amazon CloudFront,us-west-2,2.35,17.12
2025-09-02,Amazon CloudFront,ap-northeast-1,1.17,8.56
2025-09-02,Amazon DynamoDB,us-east-1,2.94,31.32
2025-09-02,Amazon DynamoDB,us-west-2,1.96,20.88
2025-09-02,Amazon DynamoDB,ap-northeast-1,0.98,10.44
2025-09-02,Amazon EBS,us-east-1,0.32,21.8
2025-09-02,Amazon EBS,us-west-2,0.21,14.54
2025-09-02,Amazon EBS,ap-northeast-1,0.1,7.27
2025-09-02,Amazon VPC,us-east-1,1.79,18.61
2025-09-02,Amazon VPC,us-west-2,1.2,12.41
2025-09-02,Amazon VPC,ap-northeast-1,0.6,6.2
2025-09-02,Amazon Route 53,us-east-1,2.08,39.95
2025-09-02,Amazon Route 53,us-west-2,1.39,26.63
2025-09-02,Amazon Route 53,ap-northeast-1,0.69,13.32
2025-09-02,Amazon SNS,us-east-1,1.2,34.69
2025-09-02,Amazon SNS,us-west-2,0.8,23.12
2025-09-02,Amazon SNS,ap-northeast-1,0.4,11.56
2025-09-02,Amazon SQS,us-east-1,0.0,21.65
2025-09-02,Amazon SQS,us-west-2,0.0,14.43
2025-09-02,Amazon SQS,ap-northeast-1,0.0,7.22
2025-09-02,AWS Glue,us-east-1,2.75,30.86
2025-09-02,AWS Glue,us-west-2,1.83,20.57
2025-09-02,AWS Glue,ap-northeast-1,0.92,10.29
2025-09-02,Amazon Redshift,us-east-1,3.56,32.94
2025-09-02,Amazon Redshift,us-west-2,2.38,21.96
2025-09-02,Amazon Redshift,ap-northeast-1,1.19,10.98
2025-09-02,Amazon Athena,us-east-1,1.98,20.38
2025-09-02,Amazon Athena,us-west-2,1.32,13.58
2025-09-02,Amazon Athena,ap-northeast-1,0.66,6.79
2025-09-02,AWS Step Functions,us-east-1,3.79,23.09
2025-09-02,AWS Step Functions,us-west-2,2.52,15.39
2025-09-02,AWS Step Functions,ap-northeast-1,1.26,7.7
2025-09-02,Amazon EKS,us-east-1,0.58,13.66
2025-09-02,Amazon EKS,us-west-2,0.39,9.11
2025-09-02,Amazon EKS,ap-northeast-1,0.19,4.55
2025-09-02,Amazon ECS,us-east-1,1.12,29.97
2025-09-02,Amazon ECS,us-west-2,0.75,19.98
2025-09-02,Amazon ECS,ap-northeast-1,0.37,9.99
2025-09-02,AWS CloudTrail,us-east-1,2.71,31.91
2025-09-02,AWS CloudTrail,us-west-2,1.81,21.27
2025-09-02,AWS CloudTrail,ap-northeast-1,0.9,10.63
2025-09-02,Amazon CloudWatch,us-east-1,1.86,26.59
2025-09-02,Amazon CloudWatch,us-west-2,1.24,17.72
2025-09-02,Amazon CloudWatch,ap-northeast-1,0.62,8.86
2025-09-02,AWS KMS,us-east-1,3.44,21.91
2025-09-02,AWS KMS,us-west-2,2.29,14.6
2025-09-02,AWS KMS,ap-northeast-1,1.15,7.3
2025-09-03,Amazon EC2,us-east-1,3.19,18.38
2025-09-03,Amazon EC2,us-west-2,2.12,12.25
2025-09-03,Amazon EC2,ap-northeast-1,1.06,6.13
2025-09-03,Amazon S3,us-east-1,1.96,21.18
2025-09-03,Amazon S3,us-west-2,1.3,14.12
2025-09-03,Amazon S3,ap-northeast-1,0.65,7.06
2025-09-03,Amazon RDS,us-east-1,0.7,29.87
2025-09-03,Amazon RDS,us-west-2,0.47,19.91
2025-09-03,Amazon RDS,ap-northeast-1,0.23,9.96
2025-09-03,AWS Lambda,us-east-1,1.79,25.12
2025-09-03,AWS Lambda,us-west-2,1.2,16.75
2025-09-03,AWS Lambda,ap-northeast-1,0.6,8.38
2025-09-03,Amazon CloudFront,us-east-1,3.22,29.46
2025-09-03,Amazon CloudFront,us-west-2,2.15,19.64
2025-09-03,Amazon CloudFront,ap-northeast-1,1.07,9.82
2025-09-03,Amazon DynamoDB,us-east-1,3.5,24.02
